Dia,Horário,Cidade/Base,Atividade,Deslocamento,Duração estimada,Custo estimado por pessoa,Prime Gourmet,Observações,Fonte/validação
19/07 Dom,Chegada + tarde/noite,Gramado,"Check-in/descanso + caminhada leve: Lago Negro, Praça das Etnias, Rua Coberta, Igreja São Pedro e Fonte do Amor Eterno",Hotel Lê Château fica a ~600m do Lago Negro e ~4 min de carro da Rua Coberta,2h30 a 4h,Gratuito; pedalinho ~R$70 por embarcação; cadeado ~R$35,Não necessário,"Dia livre e sem carro. Fazer tudo leve, sem gastar com parque caro logo na chegada.",Hotel Azaleia; notas do usuário; Tripadvisor/Gramado Blog
20/07 Seg,10h30,Evento,Apresentação no Café com Inovação,Sair com folga do hotel conforme local oficial do evento,20 min a 2h30,Evento,Não se aplica,"Como a duração é incerta, deixar o dia flexível.",Contexto do usuário
20/07 Seg,15h30 - 17h30,Gramado,Mini Mundo OU Lago Negro/Mini Mundo se o evento terminar cedo,Uber/à pé dependendo do local,1h30 a 2h,Mini Mundo adulto R$128 no site oficial,A confirmar no app,Mini Mundo fecha às 17h; só encaixa se o evento acabar cedo.,Mini Mundo oficial
20/07 Seg,18h00,Gramado,Retirada do carro alugado,Retirar e abastecer/confirmar seguro,40 min,Conforme locadora,Não se aplica,Evitar deslocamento longo à noite no primeiro dia com carro.,Contexto do usuário
20/07 Seg,19h30,Gramado,Jantar com Prime: Quintanilha ou outro parceiro validado no app,Carro/Uber curto,1h30,Buffet relatado R$72-R$85 por pessoa; com Prime pode cair para ~metade para 2 pessoas,"Confirmado por relatos, mas validar regra atual no app",Usar esse jantar para testar Prime antes dos gastos maiores.,Tripadvisor; notas do usuário; posts Prime
21/07 Ter,05h00,Gramado → Torres,Sair cedo para Torres,~185 a 220 km; estimativa 3h a 3h30,3h a 3h30,Combustível + pedágios,Não se aplica,Dia cansativo. Levar casaco e capa de chuva.,Rome2Rio/DistânciasCidades
21/07 Ter,09h30 - 12h00,Torres,Parque da Guarita + Morro das Furnas/Torre do Meio,Carro até o parque; trilhas curtas a pé,2h a 2h30,Entrada/estacionamento a confirmar; passeio em si é majoritariamente natural,Não confirmado,"Principal paisagem de Torres. Se chover forte, encurtar.",Prefeitura de Torres; Turismo RS
21/07 Ter,12h10 - 13h00,Torres,Praia da Cal + Morro do Farol,10 a 15 min entre pontos,50 min,Gratuito,Não confirmado,Morro do Farol tem vista ampla e acesso de carro ao topo segundo relatos.,Tripadvisor; Prefeitura/Turismo RS
21/07 Ter,13h00 - 14h20,Torres,Almoço,Centro/Praia Grande,1h20,R$60 a R$120 por pessoa estimado,Somente se Prime Litoral Norte tiver parceiro,Prime Gramado/Canela provavelmente não cobre Litoral Norte. Validar região antes.,Prime Gourmet fontes gerais
21/07 Ter,14h30 - 16h45,Torres → Porto Alegre,Deslocamento para Porto Alegre,~193 km,2h15 a 2h30,Combustível + estacionamento,Não se aplica,"Chegar direto na Orla/Cais, sem tentar fazer museus se já estiver tarde.",Rome2Rio
21/07 Ter,17h00 - 19h30,Porto Alegre,"Orla do Guaíba, Usina do Gasômetro, Cais Embarcadero ou Pontal Shopping",Estacionar uma vez e caminhar,2h a 2h30,Orla grátis; consumo variável,Prime POA só se tiver assinatura da região Porto Alegre,"Melhor parte de POA para fim de tarde. Com chuva, priorizar Cais/Pontal por estrutura.",Cais Embarcadero; Pontal; Guia Melhores Destinos
21/07 Ter,19h30 - 21h00,Porto Alegre,Jantar rápido,Cais/Pontal/Moinhos,1h30,R$70 a R$150 por pessoa,A confirmar em região POA,Evitar jantar muito demorado porque ainda tem volta para Gramado.,Fontes de funcionamento locais
21/07 Ter,21h00 - 23h30,Porto Alegre → Gramado,Volta para o hotel,~115 km a 125 km; cerca de 2h a 2h30,2h a 2h30,Combustível,Não se aplica,Só fazer esta volta tarde se todos estiverem descansados e sem chuva forte.,Estimativa logística
22/07 Qua,08h30 - 09h15,Gramado → Canela,Saída para Canela/Caracol,40 a 45 min com margem,45 min,Combustível/estacionamento,Não se aplica,Dia de carro para atrações distantes.,Roteiro
22/07 Qua,09h30 - 11h30,Canela,Skyglass Canela: Plataforma + Abusado,Carro; fica afastado do centro de Canela,1h30 a 2h,Combo adulto oficial R$260; comprar antecipado até 1 dia antes,A confirmar,Vá de carro. Comprar antes ajuda com preço e fila; olhar clima antes.,Skyglass oficial
22/07 Qua,11h45 - 13h15,Canela,"Parque do Caracol: mirantes, observatório, trilhas leves",Curto deslocamento do Skyglass,1h30,Ingresso a confirmar; estacionamento oficial R$30,A confirmar,Não precisa fazer todas as trilhas se chover.,Parque do Caracol oficial/SAC
22/07 Qua,13h30 - 15h00,Canela,Almoço em Canela,Centro de Canela,1h30,R$60 a R$130 por pessoa,Validar parceiros de Canela no app,Escolher restaurante Prime perto da Catedral ou no caminho para Jolimont.,Prime app
22/07 Qua,15h15 - 16h00,Canela,Catedral de Pedra,Centro de Canela,30 a 45 min,Gratuito por fora; atrações/eventos podem ser pagos,Não se aplica,"Bom ponto para foto, rápido e central.",Roteiro
22/07 Qua,16h20 - 18h00,Canela,Vinícola Jolimont OU Alpen Park,Carro,1h30 a 2h,Jolimont online R$149; Alpen varia por atração,A confirmar,Escolha só um para não virar correria. Jolimont exige mais horário; Alpen é mais aventura.,Jolimont/Alpen oficiais
22/07 Qua,19h30 - 21h30,Gramado,Jantar temático opcional: Hector Pizzaria ou fondue com Prime,Centro,2h,"Hector relatado R$289,90 adulto; Prime 2 por 1 pode reduzir se regra válida",Confirmar voucher e taxas no app/WhatsApp,Hector é caro; só vale se vocês querem experiência temática e Prime estiver claro.,Hector oficial; posts/reviews Prime
23/07 Qui,09h30 - 12h00,Três Coroas/Gramado,Opção A: Templo Budista Khadro Ling,Sem carro: avaliar Uber/transfer; com carro seria ~30 min,2h a 2h30,Entrada/estacionamento grátis para visitantes comuns,Não se aplica,Só abre quinta e sexta em janelas específicas; nos dias 21/22 fica fechado.,Templo Budista oficial
