Prioridade,Local,Cidade,Foto/referência visual,Descrição,O que fazer,Valor estimado,Prime Gourmet,Agendamento,Quando encaixar,Fonte URL
Alta,Lago Negro / Pedalinho,Gramado,Fotos em guias e avaliações do Lago Negro,Parque aberto e gratuito perto do Hotel Azaleia.,"Caminhada, fotos, pedalinho.",Entrada grátis; pedalinho ~R$70 por embarcação,Não precisa,Sem agendamento,19/07 ou 23/07,https://www.hotelazaleia.com.br/ | https://www.tripadvisor.com.br/Attraction_Review-g303536-d600770-Reviews-Lago_Negro-Gramado_State_of_Rio_Grande_do_Sul.html
Alta,Rua Coberta + Igreja São Pedro + Fonte do Amor Eterno,Gramado,Fotos em guias de Gramado,Miolo turístico central de Gramado.,"Fotos, lojas, chocolate, cadeado na fonte.",Grátis; cadeado ~R$35-R$40,Não precisa,Sem agendamento,19/07 ou 23/07,https://www.tripadvisor.com.br/Attraction_Review-g303536-d6852330-Reviews-Fonte_do_Amor_Eterno-Gramado_State_of_Rio_Grande_do_Sul.html
Média,Mini Mundo,Gramado,Site oficial com fotos do parque,Parque ao ar livre com miniaturas.,Fotos e visita guiada/autônoma.,Adulto R$128 no site oficial consultado,A confirmar no app,Comprar online ajuda. Encaixar antes das 17h.,20/07 se sobrar tarde ou 23/07,https://ingressos.minimundo.com.br/produto/vitrine/ingressos-minimundo
Média,NBA Park,Gramado,Site oficial com fotos,Parque indoor temático da NBA com mais de 15 atrações.,"Museu, games, loja, restaurante/café, pocket shows.","Valores variáveis; redes indicam a partir de ~R$124,50; notas do usuário 59-169",A confirmar,Comprar antes se decidir ir.,Chuva ou dia sem carro,https://www.nbaparkgramado.com.br/
Média,Space Adventure,Canela,Site oficial com fotos,Exposição espacial com itens e experiências sobre NASA.,"Museu, planetário/experiências extras.","R$99,90 antecipado; R$119,90 referência do site oficial consultado",A confirmar,Comprar até 1 dia antes para preço antecipado.,22/07 ou chuva,https://ecommerce.spaceadventure.com.br/produto/vitrine/space-avulso-canela
Alta,Skyglass Canela,Canela,Site oficial com fotos e tour 360,Plataforma de vidro e cadeira suspensa Abusado sobre vale.,"Plataforma, Abusado, fotos, memorial, deck.",Combo plataforma + Abusado adulto R$260 no site oficial,A confirmar,Comprar até 1 dia antes; evitar última hora por confirmação de pagamento.,22/07,https://skyglasscanela.com.br/ | https://lojaskyglasscanela.com.br/produto/vitrine/comboplataformaabusado
Alta,Parque do Caracol,Canela,Site oficial com fotos da cascata,Mirantes e trilhas da Cascata do Caracol.,"Mirante, observatório, trilhas leves, fotos.",Ingresso a confirmar; estacionamento oficial R$30,A confirmar,Comprar online se quiser evitar fila.,22/07,https://parquecaracol.com.br/ | https://sac.parquecaracol.com.br/hc/pt-br/articles/11979293684379-Informações-sobre-o-estacionamento
Média,Bondinhos Canela,Canela,Site oficial,Bondinhos com vista para Cascata do Caracol.,"Bondinho, mirantes, tirolesa/aerozuum conforme pacote.",Valores variáveis; consultar oficial,A confirmar,Comprar antes se escolher no lugar do Caracol/Skyglass.,22/07 alternativa,https://parquesdaserra.com.br/
Média,Vinícola Jolimont,Canela,Site oficial com fotos,Tour com visitação e degustação.,"História da vinícola, degustação, taça de brinde.",Tour Jolimont R$149 online/R$189 referência,A confirmar,Reservar com antecedência; duração ~1h30 a 2h.,22/07 tarde,https://vinicolajolimont.com.br/
Baixa/Média,Snowland,Gramado,Site oficial,Parque de neve indoor.,"Neve, patinação, shows, esportes.",Dinâmico; notas do usuário ~R$300; estacionamento R$37,A confirmar,Comprar antecipado; exige boa parte do dia.,Só se for prioridade do grupo,https://www.snowland.com.br/ingressos/ | https://www.snowland.com.br/o-parque/informacoes/
Média,Alpen Park,Canela,Site oficial,Parque de aventura.,"Trenó alpino, cinema 4D, passaportes e atrações avulsas.",Entrada no parque grátis; paga atrações/passaporte,A confirmar,Comprar online se escolher passaporte.,22/07 alternativa,https://www.alpenpark.com.br/
Alta,Parque da Guarita,Torres,Fotos da Prefeitura/Torres Turismo,"Principal atrativo natural de Torres, com torres basálticas e mar.","Trilhas, mirantes, Praia da Guarita, fotos.",A confirmar; pode haver cobrança para carro/estacionamento,Não confirmado,Sem agendamento para visita comum; verificar clima.,21/07 ou 22/07,https://torres.rs.gov.br/vivatorres/parque-da-guarita/
Alta,Morro das Furnas / Torre do Meio,Torres,Site oficial de turismo,Falésia no Parque da Guarita com furnas/cavernas e trilha.,"Trilha curta, vista, fotos.",Gratuito/condicionado ao acesso ao parque,Não confirmado,Sem agendamento; atenção a chuva e escadas.,Dia de Torres,https://torres.rs.gov.br/viva/morro-do-meio/
Alta,Morro do Farol,Torres,Fotos em guias/avaliações,Mirante urbano com vista para praias e cidade.,"Vista panorâmica, fotos, observar parapente.",Gratuito,Não confirmado,Sem agendamento.,Dia de Torres,https://www.tripadvisor.com.br/Attraction_Review-g303553-d6378912-Reviews-Morro_do_Farol-Torres_State_of_Rio_Grande_do_Sul.html
Média,Praia da Cal + Molhes da Barra,Torres,Guias de Torres,Praias e pontos de caminhada.,"Caminhada, fotos, mar, molhes.",Gratuito,Não confirmado,Sem agendamento.,Dia de Torres,https://www.decolar.com/lugares-para-viajar/7550/torres
Alta,Orla do Guaíba + Usina do Gasômetro,Porto Alegre,Guias oficiais/turismo,Principal passeio ao ar livre para pôr do sol.,"Caminhada, fotos, pôr do sol.",Gratuito,Prime não necessário,Sem agendamento.,Fim da tarde no dia de POA,https://guia.melhoresdestinos.com.br/orla-do-guaiba-porto-alegre.html
Alta,Cais Embarcadero,Porto Alegre,Site/perfil oficial,Complexo de gastronomia e entretenimento no Guaíba.,"Jantar, drinks, eventos, pôr do sol.",Entrada livre; consumo variável,Só se assinar região POA e parceiro aceitar,Reservar restaurante se quiser garantir mesa.,Fim da tarde/noite,https://www.instagram.com/caisembarcadero/
